type	ident	Latitude	Longitude	y_proj	x_proj	comment	display	symbol	dist	proximity	color	altitude	depth	temp	time	wpt_class	sub_class	attrib	link	state	country	city	address	zip	facility	crossroad	ete	dtype	model	filename	ltime	magvar	geoidheight	desc	fix	sat	hdop	vdop	pdop	ageofdgpsdata	dgpsid	dir
WAYPOINT	O13	31.523043914	-108.992085094	3489317.77361171	690651.316744756	13-JUN-14 15:27:33		Flag, Red				1730.726074																	garmin eTrex VistaCx Software Version 3.40		2014/06/13 10:27:33			13-JUN-14 15:27:33								
WAYPOINT	O16	31.523049613	-108.992089955	3489318.39697066	690650.843525494	13-JUN-14 15:28:13		Flag, Red				1730.245361																	garmin eTrex VistaCx Software Version 3.40		2014/06/13 10:28:13			13-JUN-14 15:28:13								
WAYPOINT	O19	31.523060091	-108.992036982	3489319.65083282	690655.852952564	13-JUN-14 15:28:57		Flag, Red				1730.48584																	garmin eTrex VistaCx Software Version 3.40		2014/06/13 10:28:57			13-JUN-14 15:28:57								
WAYPOINT	O22	31.523085823	-108.99207185	3489322.44291793	690652.489327967	13-JUN-14 15:29:41		Flag, Red				1730.245361																	garmin eTrex VistaCx Software Version 3.40		2014/06/13 10:29:41			13-JUN-14 15:29:41								
WAYPOINT	O24	31.523105353	-108.992060116	3489324.62854265	690653.563988336	13-JUN-14 15:30:28		Flag, Red				1730.726074																	garmin eTrex VistaCx Software Version 3.40		2014/06/13 10:30:28			13-JUN-14 15:30:28								
WAYPOINT	O26	31.523113903	-108.992063804	3489325.57002026	690653.19637229	13-JUN-14 15:31:04		Flag, Red				1730.726074																	garmin eTrex VistaCx Software Version 3.40		2014/06/13 10:31:04			13-JUN-14 15:31:04								
WAYPOINT	O34	31.523065791	-108.992067995	3489320.22877641	690652.896137637	13-JUN-14 15:33:51		Flag, Red				1729.764893																	garmin eTrex VistaCx Software Version 3.40		2014/06/13 10:33:51			13-JUN-14 15:33:51								
WAYPOINT	O36	31.522457181	-108.990286505	3489255.85767411	690823.317980287	13-JUN-14 15:53:57		Flag, Red				1723.035645																	garmin eTrex VistaCx Software Version 3.40		2014/06/13 10:53:57			13-JUN-14 15:53:57								
WAYPOINT	S03	31.470283521	-109.011888513	3483434.23034168	688876.718753495	12-JUN-14 11:56:48		Flag, Red				1699.964111																	garmin eTrex VistaCx Software Version 3.40		2014/06/12 06:56:48			12-JUN-14 11:56:48								
WAYPOINT	S1	31.509377053	-109.007012928	3487776.71201927	689261.220104268	05-JUN-14 16:54:54		Flag, Red				1680.737793																	garmin eTrex VistaCx Software Version 3.40		2014/06/05 11:54:54			05-JUN-14 16:54:54								
WAYPOINT	S14	31.46969201	-109.011225337	3483369.7953346	688940.922904116	12-JUN-14 11:53:10		Flag, Red				1699.00293																	garmin eTrex VistaCx Software Version 3.40		2014/06/12 06:53:10			12-JUN-14 11:53:10								
WAYPOINT	S2	31.512284735	-109.001215333	3488109.10094821	689806.002470914	05-JUN-14 17:19:46		Flag, Red				1674.969971																	garmin eTrex VistaCx Software Version 3.40		2014/06/05 12:19:46			05-JUN-14 17:19:46								
WAYPOINT	Scrawny Wilo	31.524329111	-108.967720075	3489502.93051468	692962.569672134	13-JUN-14 9:01:13		Flag, Red				1628.586914																	garmin eTrex VistaCx Software Version 3.40		2014/06/13 04:01:13			13-JUN-14 9:01:13								
WAYPOINT	Sml Wilo	31.526214033	-108.969923928	3489708.02313286	692749.403301105	13-JUN-14 9:10:39		Flag, Red				1632.19165																	garmin eTrex VistaCx Software Version 3.40		2014/06/13 04:10:39			13-JUN-14 9:10:39								
WAYPOINT	Sml Wilo 2	31.526495498	-108.969990565	3489739.11073475	692742.496763967	13-JUN-14 9:11:48		Flag, Red				1631.470703																	garmin eTrex VistaCx Software Version 3.40		2014/06/13 04:11:48			13-JUN-14 9:11:48								
WAYPOINT	Stop Dia A	31.52196927	-108.962738039	3489250.09310859	693440.564895186	13-JUN-14 8:20:58		Flag, Red				1617.29126																	garmin eTrex VistaCx Software Version 3.40		2014/06/13 03:20:58			13-JUN-14 8:20:58								
WAYPOINT	T1105 Dead	31.480260668	-109.017165592	3484531.25910943	688355.293469103	12-JUN-14 10:52:11		Flag, Red				1737.214844																	garmin eTrex VistaCx Software Version 3.40		2014/06/12 05:52:11			12-JUN-14 10:52:11								
WAYPOINT	T16.2 DEAD	31.512297811	-109.01673275	3488083.77058446	688332.161347565	13-JUN-14 11:18:01		Flag, Red				1717.027588																	garmin eTrex VistaCx Software Version 3.40		2014/06/13 06:18:01			13-JUN-14 11:18:01								
WAYPOINT	Turkey	31.5263924	-108.972926745	3489722.51649408	692463.874846364	13-JUN-14 9:27:33		Flag, Red				1640.122559																	garmin eTrex VistaCx Software Version 3.40		2014/06/13 04:27:33			13-JUN-14 9:27:33								
WAYPOINT	Will O	31.524119982	-108.966679461	3489481.57923272	693061.824066392	13-JUN-14 8:56:00		Flag, Red				1627.14502																	garmin eTrex VistaCx Software Version 3.40		2014/06/13 03:56:00			13-JUN-14 8:56:00								
WAYPOINT	Willlo	31.526995059	-108.97090897	3489792.87893131	692654.254641273	13-JUN-14 9:17:58		Flag, Red				1635.796631																	garmin eTrex VistaCx Software Version 3.40		2014/06/13 04:17:58			13-JUN-14 9:17:58								
WAYPOINT	Willo	31.52372201	-108.965758123	3489439.0822269	693150.140403156	13-JUN-14 8:51:43		Flag, Red				1627.14502																	garmin eTrex VistaCx Software Version 3.40		2014/06/13 03:51:43			13-JUN-14 8:51:43								
WAYPOINT	Willow	31.522701345	-108.963248832	3489330.35335253	693390.546038228	13-JUN-14 8:40:14		Flag, Red				1620.896484																	garmin eTrex VistaCx Software Version 3.40		2014/06/13 03:40:14			13-JUN-14 8:40:14								
WAYPOINT	Willow 2Nd	31.522723222	-108.96321849	3489332.83234975	693393.382482369	13-JUN-14 8:41:20		Flag, Red				1620.896484																	garmin eTrex VistaCx Software Version 3.40		2014/06/13 03:41:20			13-JUN-14 8:41:20								
WAYPOINT	Wilo	31.525127487	-108.968884069	3489589.39289356	692850.387357691	13-JUN-14 9:06:49		Flag, Red				1630.509521																	garmin eTrex VistaCx Software Version 3.40		2014/06/13 04:06:49			13-JUN-14 9:06:49								
WAYPOINT	Wilo Thicket	31.526674703	-108.970426507	3489758.21125559	692700.729494954	13-JUN-14 9:15:21		Flag, Red				1632.912598																	garmin eTrex VistaCx Software Version 3.40		2014/06/13 04:15:21			13-JUN-14 9:15:21								
