unit	type	ident	Latitude	Longitude	y_proj	x_proj	comment	altitude	original order
B_unit	photo	RPP 29	31.47665519	-109.0228236	3484121.301	687825.9068	5/13/15 17:47	1742.261719	250
B_unit	photo	RPP1	31.50801189	-109.0079888	3487623.142	689172.2576	5/10/15 18:12	1691.072021	94
B_unit	photo	RPP10	31.48522929	-108.9479659	3485202.517	694920.7167	5/11/15 18:57	1645.409668	185
B_unit	photo	RPP11	31.48569323	-108.9474248	3485254.914	694971.1577	5/11/15 19:02	1643.727295	186
B_unit	photo	RPP12	31.4855525	-108.9473414	3485239.46	694979.3734	5/11/15 19:08	1641.564453	187
B_unit	photo	RPP13	31.49365604	-108.9371669	3486156.01	695929.1225	5/11/15 19:33	1620.656006	188
B_unit	photo	RPP14	31.49369351	-108.936736	3486160.934	695969.9727	5/11/15 19:44	1617.771973	189
B_unit	photo	RPP16	31.49762219	-109.0211061	3486448.725	687947.1469	5/12/15 10:58	1669.202148	191
B_unit	photo	RPP17	31.47309959	-109.0367936	3483703.275	686505.6261	5/12/15 15:57	1840.555664	208
B_unit	photo	RPP18	31.47263691	-109.0392351	3483647.831	686274.5607	5/12/15 16:16	1855.21582	209
B_unit	photo	RPP19	31.47259148	-109.0392272	3483642.808	686275.3994	5/12/15 16:19	1854.254639	210
B_unit	photo	RPP2	31.51490693	-108.9973147	3488406.038	690172.1405	5/11/15 10:02	1659.589111	96
B_unit	photo	RPP20	31.49794581	-109.0209433	3486484.882	687961.9618	5/13/15 11:22	1723.99707	227
B_unit	photo	RPP21	31.49810323	-109.0210409	3486502.166	687952.3788	5/13/15 11:31	1724.477539	228
B_unit	photo	RPP22	31.48483283	-109.0251606	3485023.903	687587.5388	5/13/15 12:40	1806.909912	229
B_unit	photo	RPP23	31.48501321	-109.0254776	3485043.358	687557.0617	5/13/15 12:48	1809.072754	230
B_unit	photo	RPP24	31.47809193	-109.0293971	3484269.344	687198.4717	5/13/15 13:58	1766.294678	231
B_unit	photo	RPP25	31.47311501	-109.0367689	3483705.026	686507.937	5/13/15 15:23	1843.679932	232
B_unit	photo	RPP26	31.4737258	-109.0366176	3483772.998	686521.1084	5/13/15 15:32	1852.332031	233
B_unit	photo	RPP28	31.47728777	-109.0246353	3484188.33	687652.5107	5/13/15 17:18	1755.720215	245
B_unit	photo	RPP3	31.50392781	-109.0168825	3487155.042	688335.7061	5/11/15 13:54	1709.096436	160
B_unit	photo	RPP30	31.5095638	-109.010209	3487791.362	688958.2538	5/14/15 12:10	1735.052002	253
B_unit	photo	RPP31	31.50987737	-109.0110535	3487824.669	688877.4137	5/14/15 12:43	1758.36377	254
B_unit	photo	RPP32	31.50995004	-109.0111977	3487832.478	688863.5743	5/14/15 12:57	1765.57373	255
B_unit	photo	RPP33	31.51037458	-109.011289	3487879.387	688854.0424	5/14/15 13:11	1790.327393	256
B_unit	photo	RPP34	31.50388842	-109.0162292	3487151.798	688397.8384	5/14/15 17:08	1710.057861	258
B_unit	photo	RPP35	31.50341325	-109.0166895	3487098.327	688355.0742	5/14/15 17:20	1718.950195	259
B_unit	photo	RPP36	31.50341241	-109.0167995	3487098.045	688344.6301	5/14/15 17:27	1716.546875	260
B_unit	photo	RPP37	31.48409304	-108.9480458	3485076.403	694915.4769	5/15/15 9:58	1641.324219	263
B_unit	photo	RPP38	31.48413621	-108.9477051	3485081.794	694947.759	5/15/15 10:05	1649.495117	265
B_unit	photo	RPP39	31.48620872	-108.9455116	3485315.468	695151.8509	5/15/15 10:19	1645.409668	266
B_unit	photo	RPP4	31.50368993	-109.0167579	3487128.884	688348.0223	5/11/15 13:58	1710.057861	161
B_unit	photo	RPP40	31.49328891	-108.9373148	3486115.044	695915.8341	5/15/15 11:04	1618.49292	267
B_unit	photo	RPP41	31.49330609	-108.936939	3486117.62	695951.5032	5/15/15 11:10	1618.973633	268
B_unit	photo	RPP42	31.49177623	-108.9367468	3485948.353	695972.9538	5/15/15 11:20	1621.136719	269
B_unit	photo	RPP43	31.49117969	-108.937294	3485881.239	695922.2085	5/15/15 11:29	1627.865967	270
B_unit	photo	RPP44	31.52510259	-108.9983853	3489534.522	690049.8126	5/15/15 14:59	1698.281738	273
B_unit	photo	RPP45	31.52500017	-108.9980264	3489523.789	690084.1045	5/15/15 15:19	1706.452881	274
B_unit	photo	RPP46	31.52053831	-109.016652	3488996.95	688324.2686	5/15/15 16:16	1710.538574	275
B_unit	photo	RPP47	31.52058156	-109.0168835	3489001.347	688302.1955	5/15/15 16:28	1713.422363	276
B_unit	photo	RPP48 49	31.51186321	-109.0393631	3487996.371	686184.6233	5/15/15 17:08	1859.541748	277
B_unit	photo	RPP5	31.49810926	-109.0204313	3486503.881	688010.2754	5/11/15 16:05	1732.167969	183
B_unit	photo	RPP50	31.51593522	-108.9860582	3488539.636	691239.1468	5/15/15 18:57	1642.045166	278
B_unit	photo	RPP51	31.50874556	-108.9914475	3487733.158	690741.9084	5/16/15 11:47	1677.613525	280
B_unit	photo	RPP52	31.50947076	-108.9886167	3487818.489	691009.3101	5/16/15 12:18	1668.721436	281
B_unit	photo	RPP6	31.4978796	-109.0206072	3486478.118	687994.0226	5/11/15 15:45	1732.648682	180
B_unit	photo	RPP7	31.49783576	-109.0207259	3486473.054	687982.8359	5/11/15 15:56	1731.206787	181
B_unit	photo	RPP8	31.4977335	-109.0206807	3486461.795	687987.3322	5/11/15 16:03	1735.052002	182
B_unit	photo	RPP9	31.48527606	-108.9476717	3485208.225	694948.5633	5/11/15 18:52	1644.928955	184
B_unit	pine	Cp 01 1	31.51461264	-108.9984192	3488371.495	690067.8374	5/10/15 15:02	1675.931396	1
B_unit	pine	Cp 02 1	31.51483091	-108.9984485	3488395.642	690064.617	5/10/15 15:05	1676.652344	2
B_unit	pine	Cp 03 1	31.51431626	-108.9987039	3488338.142	690041.3947	5/10/15 15:07	1673.287842	3
B_unit	pine	Cp 04 1	31.51366683	-108.999342	3488265.036	689982.1116	5/10/15 15:09	1672.807129	4
B_unit	pine	Cp 05 2	31.51368108	-108.9994824	3488266.373	689968.7483	5/10/15 15:10	1672.807129	5
B_unit	pine	Cp 06 1	31.51366163	-108.9995937	3488264.024	689958.2156	5/10/15 15:12	1674.008789	6
B_unit	pine	Cp 07 3	31.51351193	-108.999573	3488247.463	689960.485	5/10/15 15:13	1672.086182	7
B_unit	pine	Cp 08 1	31.51342384	-108.9996465	3488237.569	689953.6816	5/10/15 15:14	1672.086182	8
B_unit	pine	Cp 09 1	31.51333163	-108.9998907	3488226.924	689930.6781	5/10/15 15:16	1671.36499	9
B_unit	pine	Cp 10 2	31.51340079	-108.9999528	3488234.483	689924.6391	5/10/15 15:17	1673.047363	10
B_unit	pine	Cp 100 3	31.50715996	-109.0105325	3487524.303	688932.3697	5/11/15 11:02	1690.11084	106
B_unit	pine	Cp 101 2	31.50707882	-109.0104012	3487515.534	688945.0005	5/11/15 11:02	1688.90918	107
B_unit	pine	Cp 102 1	31.50706608	-109.0104336	3487514.066	688941.9531	5/11/15 11:03	1689.149414	108
B_unit	pine	Cp 103 2	31.50698586	-109.0105324	3487505.003	688932.728	5/11/15 11:04	1689.389893	109
B_unit	pine	Cp 104 1	31.50687992	-109.0105344	3487493.254	688932.7501	5/11/15 11:06	1689.630127	110
B_unit	pine	Cp 106 2	31.5067759	-109.0103586	3487482.025	688949.6626	5/11/15 11:08	1689.870361	111
B_unit	pine	Cp 107 2	31.50674589	-109.0102426	3487478.898	688960.7416	5/11/15 11:09	1689.870361	112
B_unit	pine	Cp 108 2	31.50654917	-109.010365	3487456.877	688949.5059	5/11/15 11:15	1692.994629	113
B_unit	pine	Cp 109 1	31.50642931	-109.0102633	3487443.764	688959.4044	5/11/15 11:17	1691.3125	114
B_unit	pine	Cp 11 1	31.51330582	-108.9999906	3488223.889	689921.2409	5/10/15 15:18	1671.845703	11
B_unit	pine	Cp 110 2	31.5063651	-109.0102589	3487436.654	688959.9556	5/11/15 11:18	1691.552734	115
B_unit	pine	Cp 111 2	31.50636208	-109.0103259	3487436.204	688953.6005	5/11/15 11:18	1692.033447	116
B_unit	pine	Cp 112 2	31.50629603	-109.010259	3487428.997	688960.0867	5/11/15 11:19	1692.033447	117
B_unit	pine	Cp 113 2	31.50618246	-109.0101895	3487416.525	688966.9153	5/11/15 11:25	1693.475342	118
B_unit	pine	Cp 114 1	31.50615673	-109.0101342	3487413.768	688972.2217	5/11/15 11:25	1692.273682	119
B_unit	pine	Cp 115 2	31.50606251	-109.0101975	3487403.214	688966.4004	5/11/15 11:26	1692.994629	120
B_unit	pine	Cp 116 2	31.50595724	-109.0102585	3487391.437	688960.8164	5/11/15 11:28	1692.273682	121
B_unit	pine	Cp 117 7	31.50544728	-109.0103478	3487334.747	688953.3558	5/11/15 11:33	1694.436523	122
B_unit	pine	Cp 118 1	31.50531954	-109.0106608	3487320.046	688923.8844	5/11/15 11:57	1699.483398	124
B_unit	pine	Cp 118 4	31.50546589	-109.0103146	3487336.867	688956.4711	5/11/15 11:34	1694.196289	123
