unit	type	ident	Latitude	Longitude	y_proj	x_proj	comment	altitude
J_UNIT	user	M8 1.75m	31.49019063	-108.9640561	3485724.063	693381.82	5/16/15 15:52	1658.387451
J_UNIT	user	M8 13.5m	31.48988519	-108.963027	3485692.016	693480.2103	5/16/15 15:45	1656.945557
J_UNIT	user	M8 4m	31.50985063	-108.990119	3487857.985	690865.8481	5/17/15 9:54	1665.116699
J_UNIT	user	M8 6m	31.51517213	-108.9937597	3488441.617	690509.2426	5/18/15 14:17	1670.403809
J_UNIT	user	M9 1.5m	31.49053764	-108.9644143	3485761.902	693347.0721	5/16/15 16:05	1660.550537
J_UNIT	user	M9 4m	31.51604955	-108.9904252	3488544.695	690824.1535	5/18/15 14:27	1668.721436
J_UNIT	user	M9 6.5m	31.49026355	-108.9641604	3485731.963	693371.756	5/16/15 15:54	1657.42627
J_UNIT	user	Overhangpool	31.49097735	-108.9485238	3485838.789	694855.7892	16-MAY-15 11 Poorly checked L	1626.904541
J_UNIT	user	PC1 1M1L 19m	31.49095824	-108.9484461	3485836.809	694863.2105	5/16/15 11:00	1626.183594
J_UNIT	user	PC1 1S1M1L 26m	31.49350625	-108.9374435	3486138.91	695903.158	5/17/15 12:10	1617.29126
J_UNIT	user	Pc1 3S1M	31.48351125	-109.0239685	3484879.429	687703.4325	5/14/15 16:26	1797.537109
J_UNIT	user	PC1 D	31.49103024	-108.9486149	3485844.491	694847.0238	5/16/15 11:08	1627.865967
J_UNIT	user	PC1 U	31.4909222	-108.9483236	3485833.031	694874.9191	5/16/15 11:07	1626.904541
J_UNIT	user	PC12 1S1M 6.5m	31.49174605	-108.9749744	3485877.297	692341.3751	5/16/15 16:36	1675.690918
J_UNIT	user	PC2 1S1L 21m	31.49016741	-108.9501006	3485746.192	694707.6618	5/16/15 11:34	1630.509521
J_UNIT	user	Pc2 1S2M	31.48358141	-109.0241077	3484886.968	687690.0652	5/14/15 16:29	1799.700195
J_UNIT	user	PC2 D	31.49022608	-108.9499925	3485752.889	694717.8124	5/16/15 11:39	1630.028809
J_UNIT	user	PC2 U	31.49020898	-108.9502657	3485750.508	694691.8965	5/16/15 11:37	1631.230469
J_UNIT	user	PC3 1S1M 1.25m	31.48973641	-108.9525794	3485694.009	694473.0649	16-MAY-15 12:03:29 Macie pic	1636.517578
J_UNIT	user	Pc3 3S1M1L	31.48367998	-109.0242273	3484897.691	687678.5045	5/14/15 16:33	1799.94043
J_UNIT	user	Pc3 D	31.48360991	-109.0241388	3484890.074	687687.0538	5/14/15 16:37	1799.459717
J_UNIT	user	Pc3S	31.48346088	-109.0236489	3484874.391	687733.8975	5/14/15 16:24	1797.056641
J_UNIT	user	Pc3S1M	31.48331981	-109.02319	3484859.538	687777.779	5/14/15 16:08	1788.164551
